brand,name,price,concentration,gender,scents,base_note,middle_note,Gender_encoded,scent_strength,price_normalized,notes_diversity,base_note_0,base_note_1,base_note_2,base_note_3,base_note_4,base_note_5,base_note_6,base_note_7,base_note_8,base_note_9,base_note_10,base_note_11,middle_note_0,middle_note_1,middle_note_2,middle_note_3,middle_note_4,middle_note_5,middle_note_6,middle_note_7,middle_note_8,middle_note_9,middle_note_10,middle_note_11
Yves Saint Laurent,Body Kouros,203.6,EDT,Men,Woody,Benzoin,"Chinese Cedar, Clary Sage",1,1,0.22040022234574763,3,Benzoin,,,,,,,,,,,,Chinese Cedar,Clary Sage,,,,,,,,,,
Van Cleef & Arpels,First,170.95,EDT,Women,Floral,"Honey, Sandalwood, Tonka Bean, Amber, Musk, Civet, Vanilla, Oakmoss, Vetiver","Carnation, Tuberose, Orchid, Orris Root, Jasmine, Hiacynth, Turkish Rose, Ylang-Ylang, Lily-Of-The-Valley, Narcissus",0,1,0.18410227904391327,20,Honey,Salwood,Sandalwood,Tonka Bean,Amber,Musk,Civet,Vanilla,Oakmoss,Vetiver,,,Carnation,Tuberose,Orchid,Orris Root,Jasmine,Hiacynth,Turkish Rose,Ylang-Ylang,Lily-Of-The-Valley,Narcissus,,
NARCISO RODRIGUEZ,Narciso Rodriguez,226.0,EDP,Women,Musk,"Patchouli, Sandalwood","Amber, Musk",0,2,0.24530294608115621,5,Patchouli,Salwood,Sandalwood,,,,,,,,,,Amber,Musk,,,,,,,,,,
S.T.Dupont,S.T. Dupont,79.35,EDT,Men,Spicy,"Sandalwood, Amber, Patchouli, Musk and Coconut","Carnation, Cypress, Iris, Cinnamon, Lavender and Jasmine",1,1,0.08226792662590328,12,Salwood,Sandalwood,Amber,Patchouli,Musk,Coconut,,,,,,,Carnation,Cypress,Iris,Cinnamon,Lavender,Jasmine,,,,,,
Estee Lauder,Knowing,220.0,EDP,Women,Woody,"Oakmoss, Vetiver, Sandalwood and Amber","Jasmine, Patchouli and Orange Flower",0,2,0.23863257365202892,8,Oakmoss,Vetiver,Salwood,Sandalwood,Amber,,,,,,,,Jasmine,Patchouli,Orange Flower,,,,,,,,,
Geoffrey Beene,Grey Flannel For Men,79.0,EDT,Men,Woody,"Tonka Bean, Almond, Oakmoss, Vetiver and Cedar","Mimose, Iris, Violet, Sage, Rose, Geranium and Narcissus",1,1,0.08187882156753752,12,Tonka Bean,Almond,Oakmoss,Vetiver,Cedar,,,,,,,,Mimose,Iris,Violet,Sage,Rose,Geranium,Narcissus,,,,,
Dolce & Gabbana,The Only One,187.3,EDP,Women,"Oriental, Floral","Marshmallow, Vanilla, Sandalwood And Heliotrope","Coffee, Iris",0,2,0.2022790439132852,6,Marshmallow,Vanilla,Salwood,alwood  Heliotrope,,,,,,,,,Coffee,Iris,,,,,,,,,,
Rasasi,Al Wisam Day,76.0,EDP,Men,Oriental,"Oak Moss, And Rich And Musty Oud","Amber Nuanced Clary Sage, Soft And Milky Sandalwood, And Woody Cedarwood",1,2,0.07854363535297389,6,Oak Moss,Rich  Musty Oud,,,,,,,,,,,Amber Nuanced Clary Sage,Soft  Milky S,Sandalwood,Woody Cedarwood,,,,,,,,
Mancera,Black Vanilla,296.0,EDP,Unisex,Woody,Vanilla Pods from Madagascar and White Musk,"Delicate Bulgarian Rose, Violet, and Jasmine",2,2,0.3231239577543079,6,Vanilla Pods from Madagascar,White Musk,,,,,,,,,,,Delicate Bulgarian Rose,Violet,,Jasmine,,,,,,,,
Dior,Addict,333.8,EDP,Women,Floral,"Bourbon Vanilla, Sandal Wood And Tonka Bean","Night Queen Flower, Bulgarian Rose And Orange Flower",0,2,0.3651473040578099,5,Bourbon Vanilla,Salwood,al Wood  Tonka Bean,,,,,,,,,,Night Queen Flower,Bulgarian Rose  Orange Flower,,,,,,,,,,
S.T.Dupont,Passenger,108.9,EDT,Men,Spicy,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper, Lavender",1,1,0.1151195108393552,6,Guaiac Wood,Benzoin,,,,,,,,,,,Ginger,Cardamom,Pink Pepper,Lavender,,,,,,,,
BURBERRY,Brit Rhythm Intense,136.65,EDT,Men,Spicy,"Cashmere Wood,Coumarin,Guaiac Wood,Leather,Sandalwood,Tonka Beans,Vanilla","Amber,Basil,Lavender,Mint,Patchouli",1,1,0.14596998332406894,13,Cashmere Wood,Coumarin,Guaiac Wood,Leather,Salwood,Sandalwood,Tonka Beans,Vanilla,,,,,Amber,Basil,Lavender,Mint,Patchouli,,,,,,,
Calvin Klein,CK Be,108.3,EDT,Men,Floral,"Musk, Sandalwood, Cedar, Vanilla, Opoponax, Amber","Green Grass, Peach, Jasmine, Freesia, Magnolia, Orchid",1,1,0.11445247359644248,13,Musk,Salwood,Sandalwood,Cedar,Vanilla,Opoponax,Amber,,,,,,Green Grass,Peach,Jasmine,Freesia,Magnolia,Orchid,,,,,,
GUCCI,Guilty,214.9,EDT,Women,Floral,"Patchouli, Amber","Raspberry Vilolet, Lilac, Peach",0,1,0.2329627570872707,5,Patchouli,Amber,,,,,,,,,,,Raspberry Vilolet,Lilac,Peach,,,,,,,,,
AIGNER,Starlight,126.95,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla and White Musk","Cumin, Jasmine and Strawberries",0,2,0.1351862145636465,8,Patchouli,Salwood,Sandalwood,Vanilla,White Musk,,,,,,,,Cumin,Jasmine,Strawberries,,,,,,,,,
BENTLEY,Azure,107.0,EDT,Men,Citrus,"Cashmere Wood, Tonka Bean and Orcanox","Pimento, Tea Accord, Lavender and Clary Sage",1,1,0.11300722623679822,7,Cashmere Wood,Tonka Bean,Orcanox,,,,,,,,,,Pimento,Tea Accord,Lavender,Clary Sage,,,,,,,,
VERSACE,Dylan Blue,20.5,EDT,Men,Citrus,"Frankincense, Musk, Saffron, Tonka Beans","Ambroxan, Black Pepper, Papyrus, Patchouli, Violet Leaves",1,1,0.016842690383546414,9,Frankincense,Musk,Saffron,Tonka Beans,,,,,,,,,Ambroxan,Black Pepper,Papyrus,Patchouli,Violet Leaves,,,,,,,
Estee Lauder,Modern Muse,164.4,EDP,Women,Floral,"Amber, Musk, Patchouli, Woody Notes","Honey Suckle, Jasmine Sambac, Lily, Tuberose",0,2,0.17682045580878267,8,Amber,Musk,Patchouli,Woody Notes,,,,,,,,,Honey Suckle,Jasmine Sambac,Lily,Tuberose,,,,,,,,
Yves Saint Laurent,La Nuit De L'Homme L'Intense,204.0,EDP,Men,Vanilla,"Tonka Bean, Patchouli","Vanilla, Sage",1,2,0.22084491384102278,4,Tonka Bean,Patchouli,,,,,,,,,,,Vanilla,Sage,,,,,,,,,,
Juicy Couture,Vivi La Juicy Limited Edition,154.1,EDP,Women,Floral,"Amber, Caramel, Vanilla, Sandalwood and Pralines","Honeysuckle, Gardenia, and Jasmine",0,2,0.16536964980544747,10,Amber,Caramel,Vanilla,Salwood,Sandalwood,Pralines,,,,,,,Honeysuckle,Gardenia,,Jasmine,,,,,,,,
