brand,name,price,concentration,gender,scents,base_note,middle_note,Gender_encoded,scent_strength,price_normalized,notes_diversity,base_note_0,base_note_1,base_note_2,base_note_3,base_note_4,base_note_5,base_note_6,base_note_7,base_note_8,base_note_9,base_note_10,base_note_11,middle_note_0,middle_note_1,middle_note_2,middle_note_3,middle_note_4,middle_note_5,middle_note_6,middle_note_7,middle_note_8,middle_note_9,middle_note_10,middle_note_11
Lattafa,24 Carat Pure Gold,46.5,EDP,Unisex,Spicy,"Incense, Amber, Leather, Musk And Vanilla",Rose And Sandalwood,2,2,0.04574763757643135,6,Incense,Amber,Leather,Musk  Vanilla,,,,,,,,,Rose  S,Sandalwood,,,,,,,,,,
VERSACE,Eau Fraiche,178.1,EDT,Men,Woody,"Amber, Musk, Platanus, Saffron, Woody Notes","Cedar, Pepper, Sage",1,1,0.19205113952195665,8,Amber,Musk,Platanus,Saffron,Woody Notes,,,,,,,,Cedar,Pepper,Sage,,,,,,,,,
S.T.Dupont,Essence Pure,74.35,EDT,Men,Woody,"Cypress, Amber, Musk And Cedar","Iris, Lavender And Bamboo",1,1,0.07670928293496387,5,Cypress,Amber,Musk  Cedar,,,,,,,,,,Iris,Lavender  Bamboo,,,,,,,,,,
Calvin Klein,CK One,107.0,EDT,Men,Citrus,"Sandalwood, Amber, Musk, Cedar, and Oak moss","Nutmeg, Violet, Orris Root, Jasmine, and Lily-Of-The-Valley Rose",1,1,0.11300722623679822,13,Salwood,Sandalwood,Amber,Musk,Cedar,,Oak moss,,,,,,Nutmeg,Violet,Orris Root,Jasmine,,Lily-Of-The-Valley Rose,,,,,,
LA PERLA,Divina,62.0,EDT,Women,Fruity,"Musk, Amber, Vanilla and Woody notes","Jasmine, African orange and Pink",0,1,0.06297943301834352,7,Musk,Amber,Vanilla,Woody notes,,,,,,,,,Jasmine,African orange,Pink,,,,,,,,,
CARTIER,Santos D Concentree,240.5,EDT,Men,Spicy,"Sandalwood, Amber, Coconut, Patchouli, Vanilla and Cedar","Pepper, Nutmeg, Vetiver, Geranium, Rosemary, Cloves and Clary Sage",1,1,0.2614230127848805,14,Salwood,Sandalwood,Amber,Coconut,Patchouli,Vanilla,Cedar,,,,,,Pepper,Nutmeg,Vetiver,Geranium,Rosemary,Cloves,Clary Sage,,,,,
DORALL COLLECTION,Green Secret,9.5,EDT,Men,Fruity,"Moss, Sandalwood, Coumarin","Ylang, Geranium, Jasmine",1,1,0.004613674263479711,7,Moss,Salwood,Sandalwood,Coumarin,,,,,,,,,Ylang,Geranium,Jasmine,,,,,,,,,
DORALL COLLECTION,Lancy,11.85,EDT,Women,Spicy,"Tonka, Praline, Patchouli, Vanilla","Iris, Orange Blossom, Jasmine",0,1,0.007226236798221234,7,Tonka,Praline,Patchouli,Vanilla,,,,,,,,,Iris,Orange Blossom,Jasmine,,,,,,,,,
Lancome,Miracle,200.0,EDP,Women,Arabian,"Amber, Musk and Jasmine","Magnolia, Ginger, Mandarin Orange, Pepper and Jasmine",0,2,0.21639799888827127,9,Amber,Musk,Jasmine,,,,,,,,,,Magnolia,Ginger,M,arin Orange,Pepper,Jasmine,,,,,,
armani,Code Absolu ED,8.5,EDP,Men,Floral,"Vanilla, Amber, Musk, and Patchouli","Jasmine, Geranium, Neroli and Ylang-Ylang",1,2,0.0035019455252918294,9,Vanilla,Amber,Musk,,Patchouli,,,,,,,,Jasmine,Geranium,Neroli,Ylang-Ylang,,,,,,,,
LACOSTE,L.12.12 Blanc,88.0,EDT,Men,Woody,"Leather, Suede And Cedar",Mexican Tuberose And Ylang-Ylang,1,1,0.09188438021122847,3,Leather,Suede  Cedar,,,,,,,,,,,Mexican Tuberose  Ylang-Ylang,,,,,,,,,,,
MONTBLANC,Lady Emblem Elixir,176.3,EDP,Women,Woody,"Patchouli, Sandalwood and Vanilla","Iris, Orange Blossom, Damask Rose and Jasmine",0,2,0.19005002779321847,8,Patchouli,Salwood,Sandalwood,Vanilla,,,,,,,,,Iris,Orange Blossom,Damask Rose,Jasmine,,,,,,,,
BURBERRY,Body,141.35,EDP,Women,Woody,"Cashmere Wood, Musk, Amber and Vanille","Iris, Rose and Sandalwood",0,2,0.15119510839355196,8,Cashmere Wood,Musk,Amber,Vanille,,,,,,,,,Iris,Rose,Salwood,Sandalwood,,,,,,,,
DORALL COLLECTION,Pink Hearts,8.15,EDT,Women,Floral,"Caramel, Musk, Tonka, Sandalwood And Vanilla","Red Berries, Lily Of The Valley, Licorice, Cotton Candy And Strawberry",0,1,0.0031128404669260707,10,Caramel,Musk,Tonka,Salwood,alwood  Vanilla,,,,,,,,Red Berries,Lily Of The Valley,Licorice,Cotton C,y  Strawberry,,,,,,,
HUGO BOSS,Natural Spray,140.0,EDP,Women,Oriental,"Apricot, Amber, Lemon Tree","Bulgarian Rose, Jasmine, Lily",0,2,0.14969427459699833,6,Apricot,Amber,Lemon Tree,,,,,,,,,,Bulgarian Rose,Jasmine,Lily,,,,,,,,,
Remy Marquis,Remy,57.3,EDT,Men,Spicy,"Cedar, Sandalwood, Musk And Amber","Geranium, Cinnamon And Nutmeg",1,1,0.057754307948860474,6,Cedar,Salwood,Sandalwood,Musk  Amber,,,,,,,,,Geranium,Cinnamon  Nutmeg,,,,,,,,,,
GUCCI,Flora Gardenia,234.5,EDT,Women,Citrus,Patchouli and Brown Sugar Accord,White Gardenia and Frangipani Flower,0,1,0.2547526403557532,4,Patchouli,Brown Sugar Accord,,,,,,,,,,,White Gardenia,Frangipani Flower,,,,,,,,,,
GUCCI,Flora Gorgeous Gardenia,226.8,EDT,Women,Citrus,Patchouli,"Gardenia, Plumeria",0,1,0.24619232907170652,3,Patchouli,,,,,,,,,,,,Gardenia,Plumeria,,,,,,,,,,
Calvin Klein,Sheer Beauty Essence,167.95,EDT,Women,Floral,"Musk, Vanilla, Cedar","Lilac, Magnolia, Turkish Rose, Peony",0,1,0.18076709282934963,7,Musk,Vanilla,Cedar,,,,,,,,,,Lilac,Magnolia,Turkish Rose,Peony,,,,,,,,
DAVIDOFF,The Game,83.95,EDT,Men,Woody,Ebony Wood,"Iris, Woody Notes",1,1,0.08738187882156755,3,Ebony Wood,,,,,,,,,,,,Iris,Woody Notes,,,,,,,,,,
Mancera,Rose Greedy,269.0,EDP,Unisex,"Rose, Floral","White Musk, Amber, Vanilla, Sugar","Rose, Jasmine, Flowers",2,2,0.2931072818232351,7,White Musk,Amber,Vanilla,Sugar,,,,,,,,,Rose,Jasmine,Flowers,,,,,,,,,
ROGER & GALLET,Open,43.4,EDT,Men,Spicy,"Lamon, Woody",Sage And Thyme,1,1,0.04230127848804891,3,Lamon,Woody,,,,,,,,,,,Sage  Thyme,,,,,,,,,,,
LACOSTE,Challenge,144.95,EDT,Men,Citrus,"Ginger, Jasmine, Juniper, Nutmeg, Pepper, Violet and Whisky","Amber, Musk and Wood",1,1,0.15519733185102835,10,Ginger,Jasmine,Juniper,Nutmeg,Pepper,Violet,Whisky,,,,,,Amber,Musk,Wood,,,,,,,,,
Justcavalli,Just Cavalli,131.4,EDT,Women,Floral,Cuddly And Creamy Rosewood,Tahitian Tiare Flowers,0,1,0.14013340744858255,2,Cuddly  Creamy Rosewood,,,,,,,,,,,,Tahitian Tiare Flowers,,,,,,,,,,,
Genie,8839 Collection,24.85,EDP,Women,Floral,"Liquid Amber, Black Violet, Cream, Mahogany","Lotus Blossom, Champaca Flower, Black Orchid",0,2,0.0216787103946637,7,Liquid Amber,Black Violet,Cream,Mahogany,,,,,,,,,Lotus Blossom,Champaca Flower,Black Orchid,,,,,,,,,
GIORGIO ARMANI,Si Possione,246.5,EDP,Women,Floral,"Cedar, Vanilla, Amberwood, Patchouli","Rose, Jasmine, Heliotrope, Pineapple",0,2,0.2680933852140078,8,Cedar,Vanilla,Amberwood,Patchouli,,,,,,,,,Rose,Jasmine,Heliotrope,Pineapple,,,,,,,,
Calvin Klein,Beauty,109.55,EDP,Women,Floral,Virginia Cedar,Jasmine,0,2,0.11584213451917733,2,Virginia Cedar,,,,,,,,,,,,Jasmine,,,,,,,,,,,
J.CASANOVA,Paris Vivaldi,90.0,EDP,Women,Fruity,"Cedar, Moss, Musk, Amber And Sandalwood","Lily-of-the-valley, Rose, Jasmine, Narcissus And Orchid",0,2,0.09410783768760424,9,Cedar,Moss,Musk,Amber  S,Sandalwood,,,,,,,,Lily-of-the-valley,Rose,Jasmine,Narcissus  Orchid,,,,,,,,
Calvin Klein,Beauty,118.0,EDP,Women,Floral,Virginia Cedar,Jasmine,0,2,0.12523624235686492,2,Virginia Cedar,,,,,,,,,,,,Jasmine,,,,,,,,,,,
LACOSTE,Essential,148.65,EDT,Men,Citrus,Sandalwood And Patchouli,Pepper And Rose,1,1,0.15931072818232353,3,Salwood,alwood  Patchouli,,,,,,,,,,,Pepper  Rose,,,,,,,,,,,
Rasasi,Al Wisam Day,84.8,EDP,Men,Oriental,"Amber, Musk, Oakmoss, Agarwood (Oud)","Rose, Clary Sage, Sandalwood, Cedar",1,2,0.08832684824902724,9,Amber,Musk,Oakmoss,Agarwood (Oud),,,,,,,,,Rose,Clary Sage,Salwood,Sandalwood,Cedar,,,,,,,
Rasasi,Shuhrah,77.95,EDP,Men,Floral,"Amber, Musk, Oakmoss, Agarwood, Leathery","Rose, Sandalwood, Cedar,Jasmine",1,2,0.08071150639244025,10,Amber,Musk,Oakmoss,Agarwood,Leathery,,,,,,,,Rose,Salwood,Sandalwood,Cedar,Jasmine,,,,,,,
cacharel,Yes I Am ED,8.9,EDT,Women,Jasmine,"Milk, Sandalwood, Cardamom","Ginger Flower, Jasmine, Gardenia",0,1,0.003946637020566982,7,Milk,Salwood,Sandalwood,Cardamom,,,,,,,,,Ginger Flower,Jasmine,Gardenia,,,,,,,,,
GUCCI,Guilty Black,218.05,EDT,Men,Spicy,Patchouli,Orange Flower,1,1,0.23646470261256256,2,Patchouli,,,,,,,,,,,,Orange Flower,,,,,,,,,,,
Dolce & Gabbana,Pour Femme,195.0,EDP,Women,Floral,"Guimave, Vanilla, Heliotrope and Sandalwood",Jasmine and Orange Blossom,0,2,0.21083935519733185,7,Guimave,Vanilla,Heliotrope,Salwood,Sandalwood,,,,,,,,Jasmine,Orange Blossom,,,,,,,,,,
Arabian Oud,Sheikh Al Shuyukh,54.0,EDP,Men,Woody,Vetiver And Patchouli,"Lavender, Sage And Rosemary",1,2,0.05408560311284046,3,Vetiver  Patchouli,,,,,,,,,,,,Lavender,Sage  Rosemary,,,,,,,,,,
S.T.Dupont,Essence Pure,91.1,EDT,Women,Citrus,"Amber, Patchouli, Vanilla and Cedar",Jasmine and Rose,0,1,0.09533073929961089,6,Amber,Patchouli,Vanilla,Cedar,,,,,,,,,Jasmine,Rose,,,,,,,,,,
ISSEY MIYAKE,L'eau D'issey Pour Homme,155.75,EDT,Men,Floral,Coriander,Nutmeg,1,1,0.1672040022234575,3,Cori,er,,,,,,,,,,,Nutmeg,,,,,,,,,,,
Lattafa,Musk Mood,48.0,EDP,Unisex,Woody,"Musk, Incense, Amber, Resins, Woody Note","Patchouli, Caramel, Agarwood (Oud), Floral Notes",2,2,0.04741523068371317,9,Musk,Incense,Amber,Resins,Woody Note,,,,,,,,Patchouli,Caramel,Agarwood (Oud),Floral Notes,,,,,,,,
Yves Saint Laurent,Black Opium,364.65,EDP,Women,Vanilla,"Musk, White Wood","Jasmine Tea, Orrange Blossom, Coffee",0,2,0.399444135630906,5,Musk,White Wood,,,,,,,,,,,Jasmine Tea,Orrange Blossom,Coffee,,,,,,,,,
CARTIER,Baiser Vole,227.6,EDP,Women,Floral,Green leaves of lily,Essences of rare and elegant lily flower,0,2,0.24708171206225682,3,Green leaves of lily,,,,,,,,,,,,Essences of rare,elegant lily flower,,,,,,,,,,
Elizabeth Arden,Red Door,128.95,EDT,Women,Floral,"Honey, Sandalwood and Vetiver","Orchid, Jasmine, Lily-of-the valley, Orange blossom,Wild violet and Freesia",0,1,0.13740967204002222,10,Honey,Salwood,Sandalwood,Vetiver,,,,,,,,,Orchid,Jasmine,Lily-of-the valley,Orange blossom,Wild violet,Freesia,,,,,,
GUESS,Seductive,86.75,EDT,Women,Spicy,"Vanille, Olibanum And Cashmere Wood","Jasmine, African Orange Flower And Orris Root",0,1,0.09049471928849362,4,Vanille,Olibanum  Cashmere Wood,,,,,,,,,,,Jasmine,African Orange Flower  Orris Root,,,,,,,,,,
NINA RICCI,Mademoiselle Ricci,117.0,EDP,Women,Floral,"White Wood, Musk, Amber, Cedar And Violet","Nerium Oleander, Rose Hip And Laurels",0,2,0.12412451361867705,7,White Wood,Musk,Amber,Cedar  Violet,,,,,,,,,Nerium Ole,er,Rose Hip  Laurels,,,,,,,,,
JAGUAR,Classic Black,60.0,EDT,Men,Aromatic,"Sandalwood, Oakmoss, Tonka Beans, Virginia Cedar, Vetiver, Musk","Cardamom With Black Tea Leaves, Geranium, Nutmeg",1,1,0.06075597554196776,10,Salwood,Sandalwood,Oakmoss,Tonka Beans,Virginia Cedar,Vetiver,Musk,,,,,,Cardamom With Black Tea Leaves,Geranium,Nutmeg,,,,,,,,,
Creation Lamis,Above The Law,28.5,EDT,Men,Woody,"Haitian Vetiver, Tonka Bean, Amberwood","Guatemalan Cardamom, Juniper, Apple, Geranium",1,1,0.02573652028904947,7,Haitian Vetiver,Tonka Bean,Amberwood,,,,,,,,,,Guatemalan Cardamom,Juniper,Apple,Geranium,,,,,,,,
GIORGIO ARMANI,Si,261.8,EDP,Women,Floral,"Patchouli, Vanilla, Ambroxan, Woody Notes","May rose, Neroli Absolute, Davana, Osmanthus",0,2,0.28510283490828237,8,Patchouli,Vanilla,Ambroxan,Woody Notes,,,,,,,,,May rose,Neroli Absolute,Davana,Osmanthus,,,,,,,,
DIESEL,Plus Plus Masculine,30.0,EDT,Men,Spicy,"Vetiver, Musk, Sandalwood, Patchouli, Oak Moss, Nutmeg, Clove, Cinnamon, Tonka Bean and Anise","Jasmine, Birch, Sage, Cardamom, Coriander, Lily-of-The-Valley, Violet and Green Notes",1,1,0.027404113396331295,20,Vetiver,Musk,Salwood,Sandalwood,Patchouli,Oak Moss,Nutmeg,Clove,Cinnamon,Tonka Bean,Anise,,Jasmine,Birch,Sage,Cardamom,Cori,er,Lily-of-The-Valley,Violet,Green Notes,,,
Van Cleef & Arpels,First,181.1,EDP,Women,Floral,"Honey, Tonka Beans, Amber, Sandalwood, Musk, Civet, Vanilla, Oakmoss, Vetiver","Carnation, Tuber Rose, Orchid, Orris Root, Jasmine, Hiacynth, Rose, Ylang Ylang, narcissus, Lily",0,2,0.1953863257365203,20,Honey,Tonka Beans,Amber,Salwood,Sandalwood,Musk,Civet,Vanilla,Oakmoss,Vetiver,,,Carnation,Tuber Rose,Orchid,Orris Root,Jasmine,Hiacynth,Rose,Ylang Ylang,narcissus,Lily,,
BURBERRY,Body Tender,114.0,EDT,Women,Floral,"Cashmeran, Amber And Musk","Dewy English Roses, White Jasmine And Sandalwood",0,1,0.1207893274041134,5,Cashmeran,Amber  Musk,,,,,,,,,,,Dewy English Roses,White Jasmine  S,Sandalwood,,,,,,,,,
Calvin Klein,Eternity,95.0,EDT,Men,Floral,"Sandalwood, Vetiver, Rosewood And Ambergris","Jasmine, Geranium And Sage",1,1,0.09966648137854364,6,Salwood,Sandalwood,Vetiver,Rosewood  Ambergris,,,,,,,,,Jasmine,Geranium  Sage,,,,,,,,,,
Ferrari,Scuderia Red,97.6,EDT,Men,Fruity,"Cedar, Sandalwood, Moss and Vanilla","Jasmine, Geranium, Orris and Nutmeg",1,1,0.10255697609783213,9,Cedar,Salwood,Sandalwood,Moss,Vanilla,,,,,,,,Jasmine,Geranium,Orris,Nutmeg,,,,,,,,
GUESS,Marciano,83.5,EDP,Women,Citrus,"Powdery Vanilla, Musk And Woody Accords","Peony, Pink Honeysuckle And Intensively Clean And Sweet Jasmine",0,2,0.086881600889383,4,Powdery Vanilla,Musk  Woody Accords,,,,,,,,,,,Peony,Pink Honeysuckle  Intensively Clean  Sweet Jasmine,,,,,,,,,,
Rasasi,Oud Al Misk,59.0,EDP,Women,Oriental,"Cedar, Vetiver, Patchouli, Sandalwood, Ambergris And Musk",Geranium And Jasmine,0,2,0.059644246803779874,7,Cedar,Vetiver,Patchouli,Salwood,Sandalwood,Ambergris  Musk,,,,,,,Geranium  Jasmine,,,,,,,,,,,
Alina Corel,Beach Palm,24.95,EDP,Women,Fresh,"Himalayan Cedar, Warm Woman Skin Accord, Sandal and Incense","Heliotrope, Jasmine In An Alliance With Hibiscus Blossom and Bulgarian Rose",0,2,0.021789883268482493,8,Himalayan Cedar,Warm Woman Skin Accord,Salwood,al,Incense,,,,,,,,Heliotrope,Jasmine In An Alliance With Hibiscus Blossom,Bulgarian Rose,,,,,,,,,
Estee Lauder,Pleasures,169.9,EDP,Women,Fruity,"Cedar, Musk, Patchouli, Sandalwood","Jasmine, Lilac, Lily, Lily Of The Valley, Peony, Rose",0,2,0.18293496386881603,11,Cedar,Musk,Patchouli,Salwood,Sandalwood,,,,,,,,Jasmine,Lilac,Lily,Lily Of The Valley,Peony,Rose,,,,,,
Rasasi,Romance,37.0,EDP,Women,Floral,Powdery,"Fruity, Woody",0,2,0.03518621456364647,3,Powdery,,,,,,,,,,,,Fruity,Woody,,,,,,,,,,
TESORI D´ORIENTE,Lotus Flower Aromatic Par,33.6,EDT,Unisex,Floral,"Vanilla, Woodsy Notes, Sandalwood And Musk","Jasmine, Lotus, Tuberose And Lily Of The Valley",2,1,0.03140633685380767,7,Vanilla,Woodsy Notes,Salwood,alwood  Musk,,,,,,,,,Jasmine,Lotus,Tuberose  Lily Of The Valley,,,,,,,,,
LALIQUE,Amethyst Exquise,202.25,EDP,Women,Floral,Woody Notes,Orchid,0,2,0.218899388549194,2,Woody Notes,,,,,,,,,,,,Orchid,,,,,,,,,,,
Franck Olivier,Oud Touch,85.0,EDP,Men,Woody,"Amber, Musk, Vanilla","Violet, Patchouli, Rose, Jasmine, Olibanum",1,2,0.08854919399666482,8,Amber,Musk,Vanilla,,,,,,,,,,Violet,Patchouli,Rose,Jasmine,Olibanum,,,,,,,
VERSACE,Yellow Diamond,173.45,EDT,Women,Floral,"Amber, Precious Musk And Guaiac Wood",Creamy And Jasmine And Osmanthus,0,1,0.186881600889383,3,Amber,Precious Musk  Guaiac Wood,,,,,,,,,,,Creamy  Jasmine  Osmanthus,,,,,,,,,,,
YVES,Black Opium,178.5,EDP,Women,Fresh,"Vanilla, Patchouli, Cedar, Cashmere Wood","Coffee, Jasmine, Bitter Almond, Licorice",0,2,0.1924958310172318,8,Vanilla,Patchouli,Cedar,Cashmere Wood,,,,,,,,,Coffee,Jasmine,Bitter Almond,Licorice,,,,,,,,
CHANEL,Coco Mademoiselle,275.3,EDP,Women,Woody,"Opoponax, Patchouli, Tonka Beans, Vanilla, Vetiver, White Musk","Jasmine, Mimosa, Rose, Ylang-Ylang",0,2,0.3001111728738188,10,Opoponax,Patchouli,Tonka Beans,Vanilla,Vetiver,White Musk,,,,,,,Jasmine,Mimosa,Rose,Ylang-Ylang,,,,,,,,
Calvin Klein,One Shock,86.3,EDT,Women,Floral,"Musk, Patchouli, Amber and Vanille","Jasmine, Narcissus, Mexican chocolate and Blackberry",0,1,0.08999444135630906,8,Musk,Patchouli,Amber,Vanille,,,,,,,,,Jasmine,Narcissus,Mexican chocolate,Blackberry,,,,,,,,
BOUCHERON,Quatre Absolue De Nuit,125.95,EDP,Women,Arabian,"Sandalwood, Vanilla and Amberwood","Jasmine, Tonka Bean and Pear",0,2,0.1340744858254586,7,Salwood,Sandalwood,Vanilla,Amberwood,,,,,,,,,Jasmine,Tonka Bean,Pear,,,,,,,,,
Calvin Klein,Eternity,104.8,EDT,Men,Floral,"Sandalwood, Amber, Musk, Vetiver, Brazilian Rosewood","Coriander, Lily, Orange Blossom, Juniper Berries, Basil, Jasmine, Sage, Lily-Of-The-Valley, Geranium",1,1,0.11056142301278489,16,Salwood,Sandalwood,Amber,Musk,Vetiver,Brazilian Rosewood,,,,,,,Cori,er,Lily,Orange Blossom,Juniper Berries,Basil,Jasmine,Sage,Lily-Of-The-Valley,Geranium,,
BURBERRY,London,167.1,EDP,Women,Floral,"Sandalwood, Patchouli, Musk","Clementine, Peony Tiare, Jasmine",0,2,0.17982212340188994,7,Salwood,Sandalwood,Patchouli,Musk,,,,,,,,,Clementine,Peony Tiare,Jasmine,,,,,,,,,
Guerlain,L'Homme Ideal,6.5,EDT,Men,Floral,"Vanilla, Amber, Musk, and Patchouli","Jasmine, Geranium, Neroli and Ylang-Ylang",1,1,0.001278488048916065,9,Vanilla,Amber,Musk,,Patchouli,,,,,,,,Jasmine,Geranium,Neroli,Ylang-Ylang,,,,,,,,
Calvin Klein,Sheer Beauty,104.05,EDT,Women,Fruity,"Musk, Sandalwood, Vanille","Jasmine, Peony, Lily",0,1,0.10972762645914397,7,Musk,Salwood,Sandalwood,Vanille,,,,,,,,,Jasmine,Peony,Lily,,,,,,,,,
Lattafa,Rouat Al Musk,38.95,EDP,Women,Oriental,Vanilla and Amber,"Jasmine, White Flowers and Sandalwood",0,2,0.03735408560311284,6,Vanilla,Amber,,,,,,,,,,,Jasmine,White Flowers,Salwood,Sandalwood,,,,,,,,
Mancera,Wild Leather,224.0,EDP,Unisex,Woody,"Amber, Guaiac Wood, Leather, Lichen, Musk","Bulgarian Rose, Patchouli, Violet",2,2,0.24307948860478043,8,Amber,Guaiac Wood,Leather,Lichen,Musk,,,,,,,,Bulgarian Rose,Patchouli,Violet,,,,,,,,,
Misk Perfumes,White Musk Perfume,5.35,Oil,Unisex,Musk,Tail Rose,Vanilla Flowers,2,,0.0,2,Tail Rose,,,,,,,,,,,,Vanilla Flowers,,,,,,,,,,,
Alina Corel,Monsieur Coco Vanilla,31.85,EDP,Unisex,Floral,"White Musk, Woody Notes, Madagascar Vanilla","Jasmine, Ylang-Ylang, Tiare Flower",2,2,0.029460811561978877,6,White Musk,Woody Notes,Madagascar Vanilla,,,,,,,,,,Jasmine,Ylang-Ylang,Tiare Flower,,,,,,,,,
DORALL COLLECTION,Golden Blaze,11.0,EDP,Women,Musk,"Musk, Patchouli, Amber","Ylang-ylang, Jasmine",0,2,0.006281267370761534,5,Musk,Patchouli,Amber,,,,,,,,,,Ylang-ylang,Jasmine,,,,,,,,,,
Rasasi,Emotion,44.45,EDP,Women,Sandalwood,"Sandalwood, Musk, Amber, Cedar And Vanilla","Kiwi, Pineapple, Black Currant, Freesia, Water Lily And Jasmin",0,2,0.04346859366314619,10,Salwood,Sandalwood,Musk,Amber,Cedar  Vanilla,,,,,,,,Kiwi,Pineapple,Black Currant,Freesia,Water Lily  Jasmin,,,,,,,
DIESEL,Only The Brave Tattoo,236.9,EDT,Men,Citrus,"Woodsy Accord, Benzoin, Tob**co, Patchouli","Sage, Bourbon Pepper",1,1,0.25742078932740414,6,Woodsy Accord,Benzoin,Tob**co,Patchouli,,,,,,,,,Sage,Bourbon Pepper,,,,,,,,,,
Lattafa,Sheikh Shuyukh,30.3,EDP,Unisex,Woody,"Vetiver, Patchouli","Lavender, Sage, Rosemary",2,2,0.027737632017787662,5,Vetiver,Patchouli,,,,,,,,,,,Lavender,Sage,Rosemary,,,,,,,,,
Al Fakhr,Kalam Al Oud,13.3,EDP,Unisex,Woody,"Sandalwood, Cedarwood","Black Pepper, Cardamom",2,2,0.008838243468593665,5,Salwood,Sandalwood,Cedarwood,,,,,,,,,,Black Pepper,Cardamom,,,,,,,,,,
HUGO BOSS,Orange EDT Sp,110.0,EDT,Men,Floral,"Vanilla, Woodsy Notes","Incense, Sichuan Pepper",1,1,0.11634241245136187,4,Vanilla,Woodsy Notes,,,,,,,,,,,Incense,Sichuan Pepper,,,,,,,,,,
Armaf,Club De Nuit Milestone,135.0,EDP,Women,Floral,"Vetiver, Musk, Ambroxan","Violet Sandalwood, White Wood",0,2,0.14413563090605894,6,Vetiver,Musk,Ambroxan,,,,,,,,,,Violet S,Sandalwood,White Wood,,,,,,,,,
BVLGARI,Man In Black,187.0,EDP,Men,Spicy,"Tonka Bean, Guaiac Wood, Benzoin","Leather, Iris, Tuberose",1,2,0.2019455252918288,6,Tonka Bean,Guaiac Wood,Benzoin,,,,,,,,,,Leather,Iris,Tuberose,,,,,,,,,
VERSACE,Eros,225.1,EDP,Women,Citrus,"Sandalwood, Ambroxan, Musk and Woodsy Notes","Lemon Blossom, Jasmine Sambac, Jasmine and Peony",0,2,0.2443023902167871,9,Salwood,Sandalwood,Ambroxan,Musk,Woodsy Notes,,,,,,,,Lemon Blossom,Jasmine Sambac,Jasmine,Peony,,,,,,,,
Pierra Katra,Velvet Oud,97.0,EDP,Men,Arabian,"Cashmere Wood, Amber, Musk","Floral Harmony of Magnolia, Honeysuckle, , Sweet Fruity Raspberry Nuance",1,2,0.10188993885491941,7,Cashmere Wood,Amber,Musk,,,,,,,,,,Floral Harmony of Magnolia,Honeysuckle,,Sweet Fruity Raspberry Nuance,,,,,,,,
DIESEL,Plus Plus Masculine,31.8,EDT,Men,Spicy,"Vetiver, Musk, Sandalwood, Patchouli, Oak Moss, Nutmeg, Clove, Cinnamon, Tonka Bean And Anise","Jasmine, Birch, Sage, Cardamom, Coriander, Lily-of-the-valley, Violet And Green Notes",1,1,0.029405225125069486,18,Vetiver,Musk,Salwood,Sandalwood,Patchouli,Oak Moss,Nutmeg,Clove,Cinnamon,Tonka Bean  Anise,,,Jasmine,Birch,Sage,Cardamom,Cori,er,Lily-of-the-valley,Violet  Green Notes,,,,
VERSACE,Eros,208.0,EDP,Women,Citrus,"Sandalwood, Ambroxan, Woodsy Notes, Musk","Lemon Blossom, Jasmine Sambac, Jasmine, Peony",0,2,0.22529182879377432,9,Salwood,Sandalwood,Ambroxan,Woodsy Notes,Musk,,,,,,,,Lemon Blossom,Jasmine Sambac,Jasmine,Peony,,,,,,,,
VERSACE,Eros,234.95,EDP,Women,Citrus,"Musk, Ambroxan, Woodsy Notes, Sandalwood","Lemon Blossom, Jasmine Sambac, Jasmine, Peony",0,2,0.2552529182879377,9,Musk,Ambroxan,Woodsy Notes,Salwood,Sandalwood,,,,,,,,Lemon Blossom,Jasmine Sambac,Jasmine,Peony,,,,,,,,
Arabian Oud,Sheikh Al Shuyukh,36.3,EDP,Women,Oriental,"Vetiver, Patchouli","Lavender, Sage, Rosemary",0,2,0.03440800444691495,5,Vetiver,Patchouli,,,,,,,,,,,Lavender,Sage,Rosemary,,,,,,,,,
UNITED COLORS OF BENETTON,Hot,27.1,EDT,Women,Woody,"Cedarwood, Sandalwood, Oak Moss, Amber, Vanilla and Musk","Lily of The Valley, Water Jasmine, Iris and Apricot",0,1,0.024180100055586438,11,Cedarwood,Salwood,Sandalwood,Oak Moss,Amber,Vanilla,Musk,,,,,,Lily of The Valley,Water Jasmine,Iris,Apricot,,,,,,,,
LANVIN,L'Homme,110.0,EDT,Men,Spicy,"Sandalwood, amber, musk","Comprise, pepper, mint, sage, cardamom",1,1,0.11634241245136187,9,Salwood,Sandalwood,amber,musk,,,,,,,,,Comprise,pepper,mint,sage,cardamom,,,,,,,
Estee Lauder,Wood Mystique,479.0,EDP,Unisex,Woody,"Patchouli, Virginia Cedar, Benzoin, Agarwood, Leather, Raspberry","Iris, Jasmine, Ylang-Ylang, Rose, Mimosa",2,2,0.5265703168426904,11,Patchouli,Virginia Cedar,Benzoin,Agarwood,Leather,Raspberry,,,,,,,Iris,Jasmine,Ylang-Ylang,Rose,Mimosa,,,,,,,
